candidate_id,family,symbol,session,setup_timeframe,entry_timeframe,entry_model,stop_model,exit_model,trades,trades_per_week,win_rate,avg_ret_bp,expectancy_R,profit_factor,total_return,max_drawdown,validation_return,holdout_return,stress_return,wf_folds,wf_median_return,wf_median_sharpe,wf_pct_positive,label_perm_p,random_baseline_p,block_bootstrap_p,best_account,account_verification,best_risk_model,best_daily_rules,pass_probability,blowup_probability,blowup_probability_upper_ci,pass_to_blowup_ratio,median_days_to_pass,payout_survival_probability,daily_loss_breach_probability,trailing_drawdown_breach_probability,average_attempts_to_first_pass,prop_passing_score,certification_level,fail_reasons,unavailable_data_rejected,fdr_significant,notes,candidate_json
previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_fixed_micro_1,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,fixed_micro_1,none,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_fixed_micro_1"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""fixed_micro_1"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""none"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""risk_sweep"",""base_risk"":""fixed_contracts_1"",""tier_2_lab"":""risk"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_fixed_micro_2,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,fixed_micro_2,none,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_fixed_micro_2"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""fixed_micro_2"",""contracts_base"":2,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""none"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""risk_sweep"",""base_risk"":""fixed_contracts_1"",""tier_2_lab"":""risk"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_dollar_risk_50,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,dollar_risk_50,none,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_dollar_risk_50"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""dollar_risk_50"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":50.0,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""none"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""risk_sweep"",""base_risk"":""fixed_contracts_1"",""tier_2_lab"":""risk"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_dollar_risk_100,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,dollar_risk_100,none,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_dollar_risk_100"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""dollar_risk_100"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":100.0,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""none"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""risk_sweep"",""base_risk"":""fixed_contracts_1"",""tier_2_lab"":""risk"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_pct_dd_buffer_2pct,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,pct_dd_buffer_2pct,none,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_pct_dd_buffer_2pct"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""pct_dd_buffer_2pct"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":2.0,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""none"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""risk_sweep"",""base_risk"":""fixed_contracts_1"",""tier_2_lab"":""risk"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_reduce_after_loss,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,reduce_after_loss,none,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_reduce_after_loss"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""reduce_after_loss"",""contracts_base"":2,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":true,""scale_after_high"":false},""daily_rules"":{""name"":""none"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""risk_sweep"",""base_risk"":""fixed_contracts_1"",""tier_2_lab"":""risk"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_scale_after_high,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,scale_after_high,none,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__risk_scale_after_high"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""scale_after_high"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":true},""daily_rules"":{""name"":""none"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""risk_sweep"",""base_risk"":""fixed_contracts_1"",""tier_2_lab"":""risk"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_none,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,fixed_contracts_1,none,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_none"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""fixed_contracts_1"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""none"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""daily_rule_lab"",""base_rules"":""none"",""tier_2_lab"":""daily"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_max1,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,fixed_contracts_1,max1,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_max1"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""fixed_contracts_1"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""max1"",""max_trades_per_day"":1,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""daily_rule_lab"",""base_rules"":""none"",""tier_2_lab"":""daily"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_max2,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,fixed_contracts_1,max2,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_max2"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""fixed_contracts_1"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""max2"",""max_trades_per_day"":2,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""daily_rule_lab"",""base_rules"":""none"",""tier_2_lab"":""daily"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_max3,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,fixed_contracts_1,max3,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_max3"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""fixed_contracts_1"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""max3"",""max_trades_per_day"":3,""stop_after_n_wins"":null,""stop_after_n_losses"":null,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""daily_rule_lab"",""base_rules"":""none"",""tier_2_lab"":""daily"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_stop_l1,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,fixed_contracts_1,stop_l1,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_stop_l1"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""fixed_contracts_1"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""stop_l1"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":1,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""daily_rule_lab"",""base_rules"":""none"",""tier_2_lab"":""daily"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_stop_l2,previous_h4_range_retracement,XAUUSD,,H4,M15,fib_limit_entry,prev_h4_extreme,h4_close,247,2.04,0.4858,1.95,0.0812,1.122,0.0477,-0.0306,0.0305,0.0477,0.0309,3,0.0216,6.684,0.6667,0.216,0.22,0.12,topstep_50k,verified,fixed_contracts_1,stop_l2,,,1.0,,,,,,,12.496,research_only,fail_label_permutation; fail_random_baseline; fail_block_bootstrap,,False,prior H4 retrace continuation at fib 0.618,"{""id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme__rules_stop_l2"",""family"":""previous_h4_range_retracement"",""symbol"":""XAUUSD"",""bias_timeframe"":""H4"",""setup_timeframe"":""H4"",""entry_timeframe"":""M15"",""signal"":{""type"":""prev_color""},""filters"":[{""type"":""body_atr"",""min"":0.5,""atr_n"":14},{""type"":""regime"",""ma_n"":50,""side"":""with""}],""entry"":{""type"":""fib_limit_entry"",""level"":0.618},""stop"":{""type"":""prev_h4_extreme""},""exit"":{""type"":""h4_close""},""risk"":{""name"":""fixed_contracts_1"",""contracts_base"":1,""contracts_max"":5,""dollar_risk_per_trade"":null,""pct_dd_buffer"":null,""reduce_after_loss"":false,""scale_after_high"":false},""daily_rules"":{""name"":""stop_l2"",""max_trades_per_day"":null,""stop_after_n_wins"":null,""stop_after_n_losses"":2,""daily_profit_stop_dollar"":null,""daily_loss_stop_dollar"":null,""session_only"":null,""cooldown_minutes_after_loss"":null},""account"":{""name"":""topstep_50k"",""instrument"":""MGC"",""notes"":""""},""cost_model"":""spread"",""cost_bps"":1.5,""seed"":null,""notes"":""prior H4 retrace continuation at fib 0.618"",""provenance"":{""lab"":""daily_rule_lab"",""base_rules"":""none"",""tier_2_lab"":""daily"",""tier_2_parent_id"":""previous_h4_range_retracement__fib0.618__prev_h4_extreme""},""certification_level"":""research_only"",""failure_reasons"":[""fail_label_permutation"",""fail_random_baseline"",""fail_block_bootstrap""],""rejection_detail"":{}}"
